,year,bcc-csm1-1,CCSM4,CSIRO-Mk3L,FGOALS-gl,GISS-E2-R,HadCM3,IPSL-CM5A-LR,MIROC-ES2L,MPI-ESM-P,MRI-CGCM3,MRI-ESM2-0,CESM1-LME,CESM2,MPI-ESM1-2-LR,EC-Earth3-Veg-LR,MIROC-ESM,INM-CM4-8
1018,1868,286.7766273,284.9848991,287.0902128,286.8349548,287.4414384,286.2931439,285.1954421,288.15265,286.5751271,286.7171131,286.9075664,286.4266731,285.5909314,286.3691759,286.5940949,287.0796311,286.4501343
1019,1869,286.8948117,285.1307452,287.2168224,286.7940662,287.6309147,285.9979979,285.3298114,288.2295,286.6731467,286.6917258,286.7710226,286.4951663,285.6560086,286.5163301,286.7616859,287.1450475,286.5153198
1020,1870,286.7893644,285.0144301,287.2265981,286.7566277,287.6677602,286.125087,285.309843,288.20593,286.6700387,286.7906934,286.804057,286.4160537,285.6017335,286.5618968,286.6164675,287.0904895,286.5783691
1021,1871,286.7693675,285.0577638,287.248405,286.9658899,287.5229248,286.0634595,285.3773675,288.3701,286.5518966,286.7845243,286.8897348,286.2778054,285.6418879,286.5075776,286.7844775,287.1308532,286.5855713
1022,1872,286.7921736,284.9833808,287.2604072,286.7019684,287.5394091,286.2244164,285.2838543,288.52618,286.6367608,286.8180237,286.7217631,286.2126988,285.8754302,286.4546213,286.8734574,287.3656129,286.525116
1023,1873,286.810605,285.0356931,287.2289391,286.8090936,287.6378892,286.2522519,285.4112688,288.23026,286.5901367,286.7506599,286.6181717,286.2729099,285.8344935,286.548223,286.7523827,287.3244628,286.5144958
1024,1874,286.705854,284.9556938,287.2224806,286.880419,287.5984036,286.2078164,285.4443164,288.17856,286.6099224,286.8655286,286.7255708,286.3708657,285.6142687,286.6039442,286.6884022,287.10309,286.6052856
1025,1875,286.7771936,285.0989361,287.2248552,286.884425,287.5389386,286.089039,285.5512686,288.4404,286.5342472,286.8306724,286.953346,286.312491,285.6843685,286.5799322,286.5895887,287.1735552,286.526886
1026,1876,286.7844073,285.0816605,287.1637324,286.8177886,287.5053254,285.9531053,285.3643952,288.59613,286.6981075,286.8185374,286.8882657,286.201366,285.6084348,286.5644266,286.6629947,287.0972257,286.4501953
1027,1877,286.8320894,284.9600615,287.2181804,286.7268748,287.5682739,285.8546759,285.3983333,288.37402,286.7297935,286.6161712,286.9567383,286.2782437,285.7214584,286.5612274,286.8324404,287.2108385,286.3825073
1028,1878,286.8673013,284.8931298,287.2008208,286.6209258,287.4652053,285.9553336,285.390376,288.1855,286.6953663,286.7186924,286.9684102,286.2659706,285.7437764,286.462958,287.0133565,287.2332728,286.4439392
1029,1879,286.8141953,284.978847,287.2469436,286.871579,287.4839899,285.9882082,285.2236146,288.17532,286.6630749,286.8998477,286.8542145,286.3171435,285.8036227,286.499524,286.8201347,287.293431,286.4606628
1030,1880,286.7426928,285.1890606,287.2611353,286.8872805,287.4986872,285.8267749,285.3545979,288.1726,286.6319115,286.7654155,286.9346681,286.4903807,285.863632,286.563979,286.8800802,287.3537532,286.5018921
1031,1881,286.8813894,285.1218868,287.2855352,286.7195737,287.5051532,285.9664814,285.5436737,288.20358,286.4788104,286.8459631,286.9855954,286.3722121,285.7209569,286.6282393,286.8540811,287.2103343,286.6192017
1032,1882,286.8679654,284.9950749,287.3387151,286.7544068,287.5199383,286.0266257,285.3848482,288.34525,286.7144645,286.9052281,287.0340926,286.1481884,285.4767028,286.6724188,286.7420429,286.9648071,286.5028687
1033,1883,286.7482312,284.9297093,287.1152769,286.9489497,287.4881148,286.0239159,285.2299301,288.2245,286.7424671,286.6830169,286.848318,286.0082849,285.6593726,286.351483,286.742271,287.148429,286.1627197
1034,1884,286.9046638,284.5379651,286.9775198,286.6905072,287.1743239,286.0480008,284.8898063,287.88052,286.3420123,286.3771571,286.7674099,285.7670537,285.5971896,285.7887592,286.3571986,287.0859219,286.2644043
